group,exposure_bin,users,conversions,revenue,unsubscribes
control,1-2,27295,765,45253.86,386
control,3-4,102744,3021,185005.64,1523
control,5-6,106008,3307,204006.52,1602
control,7-8,49066,1636,99746.94,742
control,9-10,12740,406,24216.88,225
control,11-12,2150,79,4810.39,38
control,13+,289,9,513.21,6
treatment,1-2,27716,850,54239.08,410
treatment,3-4,102570,3414,219091.37,1451
treatment,5-6,104957,3614,233578.86,1517
treatment,7-8,49134,1816,118629.52,714
treatment,9-10,12888,489,32040.8,166
treatment,11-12,2165,74,4855.33,28
treatment,13+,278,11,789.3,4
